Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6945633,Against A Diamond Sky: Tales from Orion's Arm Vol. 1,The Orion's Arm Universe Project,"Project, The Orion's Arm Universe",,"=""1432740997""","=""9781432740993""",0,Outskirts Press,Paperback,526,2009,2009,,2020/12/22,to-read,to-read (#15),to-read,,,,0,0
45311238,A Unix Person's Guide to PowerShell,Matt Penny,"Penny, Matt",,"=""""","=""""",0,GitBook,ebook,79,2016,,,2020/10/03,to-read,to-read (#14),to-read,,,,0,0
15808871,"Hacking Your Education: Ditch the Lectures, Save Tens of Thousands, and Learn More Than Your Peers Ever Will",Dale J. Stephens,"Stephens, Dale J.",,"=""0399159967""","=""9780399159961""",0,Tarcher,Paperback,208,2013,2013,,2020/09/22,to-read,to-read (#13),to-read,,,,0,0
272749,The UnCollege Alternative: Your Guide to Incredible Careers and Amazing Adventures Outside College,Danielle Wood,"Wood, Danielle",,"=""0060393084""","=""9780060393083""",0,Harper Paperbacks,Paperback,304,2000,2000,,2020/09/22,to-read,to-read (#12),to-read,,,,0,0
48930297,Can't Even: How Millennials Became the Burnout Generation,Anne Helen Petersen,"Petersen, Anne Helen",,"=""0358315077""","=""9780358315070""",0,Dey Street Books,Hardcover,304,2020,2020,,2020/09/17,to-read,to-read (#11),to-read,,,,0,0
156785,Diaspora,Greg Egan,"Egan, Greg",Bernhard Kempen,"=""3453161815""","=""9783453161818""",0,Heyne,Paperback,443,2000,1997,,2020/02/11,to-read,to-read (#10),to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,Crown Publishers,Hardcover,333,2012,2012,,2018/09/30,to-read,to-read (#9),to-read,,,,0,0
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,"=""0307353133""","=""9780307353139""",0,Harmony,ebook,308,2007,2007,,2018/09/30,to-read,to-read (#7),to-read,,,,0,0
3272165,Bad Science,Ben Goldacre,"Goldacre, Ben",,"=""0007240198""","=""9780007240197""",0,HarperCollins Publishers,Paperback,338,2008,2008,,2018/09/30,to-read,to-read (#6),to-read,,,,0,0
126314,Kanzi: The Ape at the Brink of the Human Mind,Sue Savage-Rumbaugh,"Savage-Rumbaugh, Sue",Roger Lewin,"=""047115959X""","=""9780471159599""",0,Wiley,Paperback,336,1996,1994,2018/09/30,2015/06/14,,,read,,,,1,0
